Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Complain,Age
PhD,Divorced,83664.0,1,1,57,866,21,151,28,21,86,3,2,2,12,0,56
Master,Married,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,0,76
Graduation,Together,60894.0,0,1,61,606,7,155,10,0,54,5,10,3,8,0,58
Graduation,Widow,60208.0,1,1,13,488,23,71,15,0,59,11,8,3,7,0,51
Graduation,Together,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,0,54
PhD,Together,32313.0,1,0,60,86,4,56,2,4,7,3,4,0,4,0,42
Graduation,Single,43020.0,1,0,79,45,7,99,4,25,43,3,4,1,4,0,54
Graduation,Married,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,0,59
Graduation,Divorced,39996.0,1,1,85,11,0,3,0,0,1,1,1,0,2,0,50
Master,Single,23616.0,1,0,76,4,22,11,3,7,32,2,3,0,3,0,42
Graduation,Married,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,0,80
Master,Together,18492.0,1,0,75,2,2,2,2,1,1,1,1,0,2,0,42
Graduation,Together,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,0,45
Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,0,32
Graduation,Divorced,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,0,59
PhD,Single,61798.0,0,0,13,338,4,89,11,8,13,1,4,2,9,0,60
Graduation,Divorced,23272.0,0,0,29,19,3,6,4,2,12,1,1,0,3,0,71
PhD,Married,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,0,56
Graduation,Widow,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,0,75
Master,Married,76800.0,0,0,33,173,26,255,35,71,81,1,4,4,7,0,59
Master,Married,77027.0,0,1,23,820,57,242,45,0,11,2,8,3,6,0,72
Graduation,Together,57867.0,1,0,48,344,35,178,15,23,17,7,7,2,9,0,46
Graduation,Married,49094.0,0,1,6,376,0,38,11,8,69,5,6,3,6,0,51
Master,Divorced,29435.0,1,1,11,70,3,37,4,2,64,4,3,2,2,0,58
Graduation,Married,49678.0,0,1,81,229,5,56,3,2,20,2,6,2,4,0,63
PhD,Single,36038.0,1,0,82,23,0,15,0,2,7,2,3,0,3,0,43
Graduation,Together,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,0,53
Graduation,Married,76068.0,0,1,67,1115,12,128,33,12,76,1,2,3,4,0,49
Master,Together,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,0,69
Graduation,Married,46049.0,1,1,11,342,9,112,19,14,19,10,5,2,9,0,48
Master,Divorced,13533.0,1,0,45,12,3,8,8,0,17,2,2,0,3,0,45
PhD,Single,38513.0,1,0,20,172,3,115,16,0,18,5,6,1,5,0,42
PhD,Together,70123.0,0,0,27,1308,0,396,23,0,0,1,5,7,4,0,41
Graduation,Married,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,0,39
Master,Together,34984.0,1,1,40,8,4,15,3,5,3,2,1,0,3,0,49
Graduation,Married,35765.0,1,0,86,22,3,30,0,5,15,2,2,0,4,0,34
Graduation,Single,69267.0,0,0,31,778,44,499,95,73,146,2,3,4,5,0,71
Graduation,Together,28587.0,1,0,42,22,4,17,12,10,13,3,2,0,4,0,46
Graduation,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,0,72
Master,Married,70932.0,0,1,57,200,193,100,46,185,185,2,6,2,12,0,52
Master,Married,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,0,53
PhD,Married,45503.0,1,0,54,97,4,44,6,1,18,1,3,1,4,0,49
PhD,Single,48918.0,1,1,21,52,0,9,0,0,1,2,1,0,4,0,61
Graduation,Divorced,36627.0,2,0,78,9,1,5,0,0,1,1,0,0,3,0,49
Master,Divorced,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,0,64
Graduation,Together,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,0,59
PhD,Together,64504.0,1,2,81,986,36,168,16,0,108,7,11,3,4,0,71
PhD,Married,57091.0,0,1,82,462,0,24,6,0,4,2,9,2,5,0,52
Master,Divorced,21282.0,1,0,76,1,5,8,4,8,20,2,2,1,2,0,46
Master,Together,42386.0,1,0,43,65,4,16,0,4,11,1,3,0,3,0,38
Graduation,Married,92910.0,0,0,42,551,137,792,179,103,33,1,6,7,13,0,38
Graduation,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,0,36
Graduation,Married,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,0,44
Master,Together,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,0,70
Master,Together,53083.0,1,1,65,215,7,33,3,0,13,6,5,1,5,0,66
Graduation,Single,46998.0,0,1,55,172,41,86,45,6,27,5,5,3,5,0,68
PhD,Together,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,0,54
Graduation,Married,74190.0,0,1,49,151,81,86,168,91,64,2,4,2,11,0,49
PhD,Single,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,0,37
Graduation,Single,94472.0,0,1,75,1017,33,417,108,100,16,1,5,5,5,0,66
PhD,Together,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,0,75
Graduation,Single,43602.0,1,1,45,19,5,12,10,3,19,3,3,1,2,0,58
Master,Widow,51529.0,0,1,14,400,4,35,6,0,22,2,9,1,5,0,75
Master,Together,25176.0,1,1,79,4,0,4,0,0,5,1,1,0,2,0,48
PhD,Single,51411.0,1,2,81,14,0,3,0,0,1,1,0,0,3,0,71
Graduation,Married,71107.0,0,1,61,533,10,217,198,174,195,2,7,6,13,0,73
Graduation,Married,42693.0,1,0,29,8,4,20,6,3,16,1,1,0,3,0,46
Master,Single,36143.0,1,0,33,12,0,1,0,0,6,1,0,1,2,0,43
Graduation,Single,31907.0,0,0,75,33,87,64,175,16,74,1,6,1,6,0,52
Graduation,Divorced,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,0,57
Graduation,Married,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,0,42
PhD,Married,36663.0,1,0,40,18,0,6,3,3,5,1,1,1,3,0,49
PhD,Divorced,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,0,64
Graduation,Single,81246.0,0,0,87,398,190,537,61,156,37,1,4,5,7,0,60
PhD,Single,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,0,71
Graduation,Divorced,4861.0,0,0,20,2,1,1,1,0,1,0,0,0,0,0,59
Master,Married,43142.0,1,1,84,5,1,7,2,1,4,1,1,0,2,0,55
Master,Married,38452.0,1,1,62,56,0,14,0,0,2,3,3,0,3,0,69
PhD,Married,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,0,79
PhD,Married,45921.0,0,0,23,102,9,49,24,3,12,1,2,1,6,0,38
Master,Married,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,0,58
Graduation,Married,35788.0,1,1,34,23,2,11,3,1,4,2,2,0,3,0,53
PhD,Widow,54356.0,0,1,62,710,15,30,20,0,0,3,11,2,8,0,75
Graduation,Married,53858.0,0,1,50,407,53,221,58,150,26,4,4,3,6,0,48
PhD,Married,53378.0,1,1,41,489,6,152,8,6,132,10,9,4,6,0,61
Graduation,Together,77226.0,0,1,29,631,43,239,128,76,21,2,6,8,12,0,61
Graduation,Together,53187.0,1,0,66,211,2,30,7,7,10,2,4,1,6,0,54
PhD,Together,64014.0,2,1,56,406,0,30,0,0,8,7,8,2,5,0,78
Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,0,58
Master,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,0,39
Graduation,Single,70515.0,0,0,12,420,0,452,182,64,140,1,6,6,4,0,31
Master,Married,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,0,35
Graduation,Married,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,0,70
Graduation,Married,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,0,50
Master,Together,32889.0,1,1,78,28,0,13,4,2,8,3,2,1,3,0,56
Graduation,Married,40800.0,1,2,77,24,0,27,8,30,10,2,3,0,3,1,60
PhD,Widow,25358.0,0,1,57,19,0,5,0,0,8,2,1,0,3,0,77
Graduation,Married,74716.0,0,1,92,133,27,421,13,195,71,2,7,3,5,0,52
Master,Single,49494.0,1,0,46,191,9,97,0,6,82,2,6,1,5,0,52
Graduation,Single,72504.0,0,1,43,604,26,470,123,161,94,2,5,9,6,0,52
PhD,Married,36778.0,1,1,63,29,4,34,2,4,4,3,3,0,3,0,56
PhD,Married,77766.0,0,1,97,1004,59,265,115,59,27,2,11,10,11,0,57
PhD,Single,33996.0,0,0,46,40,2,15,8,0,6,1,1,1,3,0,35
Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,0,42
Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,0,45
Master,Married,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,0,47
Graduation,Married,16860.0,1,1,19,10,4,4,3,3,14,3,1,1,3,0,63
Graduation,Married,56796.0,0,1,24,656,38,161,62,47,37,3,8,9,7,0,55
Graduation,Together,75702.0,0,1,87,1073,0,629,145,37,37,1,10,5,13,0,50
Graduation,Married,40059.0,1,0,82,110,29,92,28,10,145,1,6,2,3,0,40
Graduation,Married,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,0,47
Graduation,Single,53201.0,1,1,49,280,7,81,20,0,27,8,6,3,5,0,49
Graduation,Married,26228.0,1,0,50,2,6,4,3,1,9,1,1,0,2,0,51
PhD,Married,41014.0,1,0,65,7,2,6,2,0,3,1,1,0,2,0,46
Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,0,35
Graduation,Single,33279.0,0,0,29,10,3,3,0,0,0,1,0,0,3,0,58
Graduation,Single,69263.0,0,1,14,492,5,32,13,5,21,1,9,1,7,0,59
Graduation,Married,15759.0,0,0,12,1,2,5,6,0,3,1,1,0,2,0,68
Graduation,Together,62994.0,1,0,74,224,12,48,4,12,12,1,6,2,4,0,44
Graduation,Single,65333.0,0,1,58,654,7,92,0,15,30,7,9,4,8,0,51
Graduation,Married,42523.0,0,0,96,14,36,11,3,26,35,1,1,1,4,0,60
PhD,Married,82017.0,0,0,58,184,23,446,30,23,23,1,5,4,7,0,67
Graduation,Married,38508.0,1,0,95,120,19,206,25,19,54,6,7,2,5,0,38
PhD,Married,55707.0,0,1,91,208,7,82,30,66,35,2,3,2,9,0,71
Basic,Married,14421.0,0,0,81,0,0,2,3,3,8,1,1,0,2,0,28
Master,Single,58308.0,0,1,77,691,0,69,10,0,130,4,2,6,3,0,60
Master,Divorced,74290.0,0,1,70,1121,0,72,0,12,12,4,10,8,10,0,53
PhD,Married,40344.0,0,1,48,210,0,6,0,0,2,2,4,1,5,0,50
Master,Married,38196.0,1,1,20,30,0,11,0,0,3,3,2,0,4,0,53
Master,Together,60033.0,0,1,28,62,1,57,19,11,48,2,2,1,5,0,70
Graduation,Married,43586.0,0,1,26,99,2,11,4,0,16,3,3,0,4,0,44
Graduation,Together,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,0,66
PhD,Married,38097.0,1,1,70,77,2,35,0,1,69,4,3,2,2,0,54
Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,0,37
Master,Divorced,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,0,61
PhD,Together,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,0,72
Master,Together,38683.0,1,0,80,46,35,69,84,41,66,6,4,1,6,0,35
PhD,Married,44325.0,0,1,69,516,0,21,0,0,5,4,8,2,7,0,52
Graduation,Married,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,0,55
PhD,Together,38197.0,1,0,86,23,0,11,2,1,3,1,1,0,3,0,38
PhD,Married,23536.0,1,0,53,6,0,3,0,0,1,1,0,0,3,0,41
PhD,Single,74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,0,37
Master,Together,46106.0,1,1,84,30,0,8,2,0,14,1,1,1,2,0,48
Graduation,Married,37085.0,1,1,65,39,1,16,2,0,3,4,3,0,3,0,49
Master,Together,45903.0,0,1,80,33,8,10,2,10,3,2,2,1,3,0,58
PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,0,41
PhD,Together,51717.0,0,1,55,98,1,17,0,1,5,1,3,0,4,0,59
Master,Together,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,0,48
Graduation,Together,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,0,57
Graduation,Divorced,54137.0,0,1,46,171,0,11,0,1,20,2,4,1,4,0,54
Master,Together,46772.0,0,1,88,350,104,189,197,151,57,6,11,8,5,0,49
Master,Single,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,0,38
Graduation,Married,79205.0,0,0,73,504,23,117,179,28,44,1,6,5,4,0,49
Graduation,Single,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,0,29
Graduation,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,0,59
PhD,Divorced,54237.0,0,1,48,267,3,30,4,0,57,4,5,2,5,0,67
PhD,Together,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,0,55
Master,Together,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,0,59
PhD,Married,38175.0,1,0,6,70,6,69,2,3,3,3,3,1,4,0,40
Graduation,Married,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,0,42
Graduation,Together,29478.0,1,0,59,8,0,7,3,1,1,1,1,0,3,0,48
Graduation,Together,48186.0,1,0,39,97,3,66,12,7,34,3,4,1,4,0,50
Master,Single,77598.0,0,0,53,1193,33,281,129,66,33,1,7,5,13,0,81
Graduation,Married,26067.0,1,0,49,22,2,18,0,2,12,3,3,0,3,0,50
Graduation,Married,56721.0,1,1,64,157,6,39,6,13,75,5,4,1,5,0,52
Master,Married,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,0,34
Graduation,Together,78687.0,0,0,13,817,185,687,145,55,241,1,4,6,8,0,41
Basic,Single,20194.0,1,0,64,0,4,7,11,10,15,2,2,0,3,0,45
Graduation,Married,22518.0,1,0,36,11,7,12,2,2,27,2,2,1,2,0,38
Master,Married,72828.0,0,1,17,1205,0,235,19,14,205,6,6,3,13,0,62
Master,Together,66476.0,0,1,80,742,28,152,25,9,57,2,6,8,10,0,55
Graduation,Divorced,45146.0,1,1,28,33,0,5,0,0,15,2,1,1,2,0,61
Graduation,Married,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,0,55
Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,0,47
Master,Married,51111.0,1,1,83,22,0,19,6,5,3,2,2,0,3,0,43
Graduation,Married,42192.0,0,0,40,40,15,15,17,6,7,1,2,1,3,0,76
Master,Married,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,0,46
Graduation,Married,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,0,65
Graduation,Married,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,0,60
Graduation,Together,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,0,71
Graduation,Married,46149.0,0,1,36,254,6,71,4,0,27,5,5,1,7,0,49
Graduation,Single,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,0,53
Graduation,Married,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,0,54
PhD,Together,27683.0,1,0,90,152,9,121,12,12,45,4,6,2,4,0,46
Master,Married,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,0,70
Graduation,Married,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,0,60
Graduation,Married,71965.0,0,1,21,572,19,286,50,38,248,3,6,3,5,0,73
Graduation,Married,65991.0,0,1,21,507,19,364,25,47,9,3,9,5,10,0,48
Graduation,Married,59594.0,0,1,74,457,4,29,0,0,9,1,8,1,7,0,59
PhD,Together,79632.0,0,0,42,471,0,510,99,21,12,1,6,4,9,0,50
Master,Married,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,0,46
PhD,Married,82170.0,0,0,13,1023,93,651,49,55,37,1,5,6,7,0,46
Graduation,Together,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,1,43
PhD,Divorced,90687.0,0,0,98,982,17,672,23,34,51,1,6,2,8,0,41
Graduation,Widow,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,0,55
Graduation,Single,63810.0,0,1,45,977,12,253,16,12,101,4,4,3,12,0,58
Graduation,Together,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,0,47
Graduation,Together,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,0,54
PhD,Together,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,0,48
Graduation,Single,30168.0,1,0,51,154,20,66,0,12,27,7,6,1,4,0,46
PhD,Single,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,0,74
Graduation,Married,42014.0,1,0,56,244,15,108,4,15,50,6,7,1,6,0,47
Graduation,Married,30833.0,1,1,33,11,0,7,3,1,6,2,1,0,3,0,73
PhD,Together,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,0,54
Graduation,Divorced,43300.0,0,1,87,91,3,52,2,1,31,3,4,0,4,0,53
PhD,Married,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,0,48
PhD,Married,36947.0,1,1,49,88,3,21,4,1,29,4,3,0,4,0,57
Graduation,Single,82332.0,0,0,89,830,59,968,51,79,19,1,5,3,12,0,63
Graduation,Divorced,40780.0,0,1,30,229,27,71,13,3,34,4,7,1,5,0,48
Graduation,Married,80589.0,0,0,25,507,93,520,242,40,26,1,5,10,5,0,80
Master,Widow,73705.0,0,2,86,612,91,520,258,107,107,2,9,6,8,0,73
Graduation,Married,28164.0,1,0,23,3,18,26,11,8,12,3,2,0,4,0,54
PhD,Married,51012.0,0,0,86,102,9,63,2,9,24,1,4,1,4,0,78
PhD,Divorced,28420.0,1,0,36,4,2,5,2,0,0,1,1,0,2,0,57
Master,Married,28520.0,1,1,55,11,0,10,0,2,20,1,1,1,2,0,64
Graduation,Widow,45684.0,1,0,37,5,1,5,10,0,7,1,1,0,2,0,53
PhD,Together,33629.0,1,1,49,132,0,16,0,0,4,5,3,1,4,0,61
Graduation,Widow,67046.0,0,1,92,544,35,133,23,151,107,2,4,5,4,0,73
Graduation,Married,75794.0,0,0,33,754,160,625,63,32,48,1,7,5,12,0,37
Master,Single,51124.0,1,1,79,26,1,11,0,1,4,2,1,0,3,0,69
PhD,Married,65695.0,0,1,50,371,32,189,0,58,6,2,5,4,10,0,64
Graduation,Together,16626.0,2,0,76,8,3,22,21,1,13,3,3,0,3,0,53
PhD,Married,80336.0,0,0,12,209,19,456,160,142,66,1,2,9,13,0,54
Graduation,Together,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,0,64
PhD,Married,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,0,76
Master,Single,38741.0,1,1,60,7,10,17,8,6,13,2,2,0,3,0,66
Graduation,Married,71866.0,0,1,85,184,178,178,103,39,33,1,6,3,10,0,68
Graduation,Married,72117.0,0,1,34,707,20,171,65,60,50,1,9,7,9,0,47
Graduation,Together,56534.0,0,1,35,691,7,61,10,0,46,4,10,4,7,0,56
PhD,Divorced,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,0,64
PhD,Married,51039.0,1,1,11,100,64,79,65,0,109,2,6,2,4,0,55
Graduation,Married,63943.0,0,1,50,423,184,368,13,97,21,1,6,4,6,0,68
Graduation,Married,77343.0,0,0,28,227,151,573,98,54,31,1,3,4,9,0,59
Master,Single,42607.0,0,1,30,156,29,56,30,32,47,2,3,2,7,0,70
Master,Single,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,0,37
